District,R %, D %,Other %
1A,76.07,23.87,0.06
1B,67.2,32.74,0.07
2A,51.79,47.97,0.24
2B,63.53,36.14,0.33
3A,55.54,41.45,3.0200000000000005
3B,50.25,49.65,0.1
4A,41.33,58.5,0.17
4B,66.41,33.52,0.07
5A,71.34,28.57,0.08
5B,75.38,24.53,0.09
6A,66.04,33.89,0.07
6B,63.4,33.06,3.54
7A,60.19,39.71,0.1
7B,56.34,43.56,0.09
8A,31.65,68.22,0.13
8B,31.26,68.53,0.22
9A,68.8,31.09,0.11
9B,71.61,28.33,0.07
10A,71.12,28.35,0.53
10B,79.64,20.26,0.1
11A,51.19,48.41,0.4
11B,68.62,31.29,0.09
12A,73.8,26.13,0.06
12B,76.73,20.44,2.83
13A,75.3,24.62,0.08
13B,68.63,31.28,0.1
14A,56.31,43.46,0.23
14B,49.79,49.93,0.29
15A,71.68,28.24,0.08
15B,72.65,27.29,0.06
16A,71.6,28.3,0.11
16B,76.07,23.83,0.09
17A,71.03,28.87,0.1
17B,70.03,29.87,0.1
18A,51.59,48.23,0.18
18B,44.18,55.64,0.18
19A,64.59,35.33,0.08
19B,66.03,33.85,0.13
20A,57.6,42.34,0.06
20B,66.86,33.05,0.1
21A,83.89,0.0,16.1
21B,66.3,33.63,0.07
22A,69.42,30.49,0.09
22B,68.74,31.2,0.06
23A,67.75,32.14,0.11
23B,56.0,43.95,0.05
24A,63.4,36.51,0.09
24B,42.1,57.8,0.09
25A,43.89,55.98,0.12
25B,35.79,64.01,0.2
26A,52.74,47.03,0.22
26B,63.31,36.45,0.24
27A,73.61,26.02,0.37
27B,75.09,24.68,0.23
28A,68.11,31.68,0.21
28B,65.06,34.85,0.09
29A,70.74,29.18,0.08
29B,66.46,33.39,0.15
30A,62.65,37.27,0.08
30B,67.64,32.21,0.15
31A,61.11,38.74,0.15
31B,70.49,29.36,0.15
32A,58.15,41.68,0.18
32B,49.05,50.77,0.19
33A,58.01,41.89,0.1
33B,48.6,51.3,0.11
34A,53.48,46.4,0.12
34B,36.74,63.08,0.18
35A,48.01,51.83,0.16
35B,49.29,50.51,0.21
36A,54.07,45.83,0.1
36B,48.32,51.53,0.15
37A,57.12,42.8,0.08
37B,44.54,55.39,0.07
38A,34.94,64.78,0.27
38B,25.42,74.25,0.32
39A,36.37,63.33,0.3
39B,28.88,70.91,0.22
40A,0.0,95.87,4.13
40B,34.55,65.19,0.26
41A,50.49,49.4,0.11
41B,50.93,48.86,0.2
42A,42.58,57.3,0.12
42B,35.96,63.91,0.13
43A,33.53,66.33,0.14
43B,24.63,75.19,0.18
44A,37.45,62.37,0.18
44B,37.6,56.35,6.04
45A,55.02,44.89,0.09
45B,0.0,95.18,4.82
46A,24.84,75.02,0.14
46B,32.21,67.62,0.17
47A,39.29,60.62,0.09
47B,45.46,54.41,0.13
48A,60.41,39.51,0.08
48B,49.52,50.39,0.09
49A,39.05,60.81,0.14
49B,42.8,57.11,0.09
50A,35.28,64.57,0.15
50B,36.69,63.18,0.13
51A,26.32,73.44,0.24
51B,35.67,64.08,0.25
52A,39.01,60.88,0.11
52B,39.31,60.57,0.12
53A,42.14,57.73,0.13
53B,40.48,59.37,0.15
54A,49.89,49.95,0.16
54B,61.94,37.99,0.07
55A,46.5,53.4,0.11
55B,40.64,59.24,0.12
56A,38.68,61.22,0.11
56B,43.96,55.97,0.07
57A,62.56,37.37,0.07
57B,52.35,47.56,0.09
58A,47.48,52.43,0.09
58B,59.84,40.05,0.12
59A,0.0,97.93,2.07
59B,17.4,82.34,0.26
60A,15.19,84.59,0.22
60B,16.89,82.7,0.41
61A,0.0,83.92,16.07
61B,10.68,89.09,0.23
62A,9.68,90.07,0.26
62B,12.38,87.23,0.39
63A,0.0,98.76,1.24
63B,14.51,85.27,0.22
64A,16.6,83.17,0.23
64B,19.72,80.1,0.18
65A,0.0,97.07,2.93
65B,23.17,76.53,0.3
66A,18.64,80.99,0.37
66B,23.61,76.12,0.27
67A,25.74,73.96,0.3
67B,24.91,74.7,0.39

