District,R %, D %,Other %
1A,17420,5466,14
1B,13939,6791,14
2A,11518,10667,26
2B,14373,8168,10
3A,14443,10779,785
3B,13481,13321,27
4A,7822,11072,32
4B,15277,7710,16
5A,18855,7551,22
5B,17604,5729,21
6A,17765,9116,19
6B,15744,8209,880
7A,14422,9467,23
7B,13781,10655,23
8A,6964,15009,29
8B,7956,17443,55
9A,15587,7043,25
9B,19366,7661,18
10A,17958,7159,134
10B,19961,5079,24
11A,12252,11588,96
11B,16038,7314,20
12A,17110,6058,15
12B,18571,4946,685
13A,19215,6282,20
13B,16467,7505,23
14A,10967,8464,45
14B,9729,9757,56
15A,16111,6347,18
15B,16815,6316,14
16A,16040,6339,24
16B,16473,5161,20
17A,17052,6930,24
17B,17425,7431,25
18A,12282,11482,42
18B,8650,10892,35
19A,13366,7311,16
19B,14620,7495,28
20A,14333,10535,15
20B,16857,8332,24
21A,18669,0,3584
21B,11983,6078,12
22A,15700,6896,21
22B,17053,7740,16
23A,15554,7379,26
23B,11466,8174,12
24A,15661,9019,23
24B,9369,12863,21
25A,10259,13085,29
25B,7184,12847,40
26A,12241,10916,52
26B,15715,9045,59
27A,16485,5826,83
27B,17587,5780,54
28A,17550,8163,54
28B,16768,8983,22
29A,18788,7750,21
29B,15741,7909,35
30A,16763,9936,18
30B,16357,7790,37
31A,15462,9802,39
31B,18727,7800,40
32A,14816,10620,45
32B,11622,12030,44
33A,15260,11020,25
33B,12913,13631,28
34A,15261,13240,33
34B,7950,13649,40
35A,10951,11822,37
35B,11280,11560,47
36A,14999,12714,29
36B,12152,12977,37
37A,15817,11851,22
37B,11841,14726,18
38A,5410,10030,42
38B,3793,11078,48
39A,6749,11751,55
39B,5875,14427,44
40A,0,16869,727
40B,8460,15963,63
41A,15167,14840,32
41B,12530,12020,50
42A,10617,14288,31
42B,8757,15561,31
43A,6999,13845,29
43B,6232,19023,45
44A,7255,12085,35
44B,8254,12369,1327
45A,15897,12972,26
45B,0,19625,994
46A,6168,18627,34
46B,7863,16510,42
47A,9143,14106,21
47B,11867,14202,35
48A,16818,11001,23
48B,12728,12953,22
49A,10342,16104,37
49B,10138,13529,21
50A,9161,16766,40
50B,9596,16524,33
51A,5533,15440,51
51B,7373,13244,51
52A,8833,13784,26
52B,10291,15857,31
53A,10227,14011,31
53B,9002,13203,33
54A,10941,10954,36
54B,15798,9690,18
55A,10607,12180,24
55B,7968,11616,24
56A,8687,13750,24
56B,11575,14736,19
57A,16459,9833,18
57B,13781,12520,24
58A,12067,13325,22
58B,14886,9962,29
59A,0,11672,247
59B,3549,16791,52
60A,3535,19684,51
60B,2041,9993,50
61A,0,18234,3493
61B,2861,23864,61
62A,1434,13349,38
62B,2093,14747,66
63A,0,20289,255
63B,3878,22790,58
64A,4080,20441,56
64B,5152,20922,47
65A,0,10068,304
65B,4572,15100,59
66A,4180,18166,84
66B,3370,10864,38
67A,3178,9133,37
67B,3538,10610,56

